1.392;193.8;-0.69;0.78;0.40;298.20
1.674;193.9;-0.79;1.11;0.44;298.12
1.955;223.1;0.10;1.40;0.45;298.06
2.398;233.1;0.73;1.50;0.43;297.98
1.972;238.2;0.71;1.08;0.41;297.69
2.543;238.7;1.10;1.56;0.37;297.73
2.388;236;0.89;1.45;0.41;297.72
1.932;240;0.75;1.08;0.46;297.71
1.81;228.1;0.32;1.05;0.46;297.70
1.99;219;0.07;1.42;0.35;297.61
2.076;242.2;0.95;1.05;0.41;297.42
2.077;241.5;0.91;1.12;0.42;297.45
2.302;229.7;0.59;1.57;0.44;297.63
2.732;235.7;1.11;1.78;0.46;297.51
2.951;234.6;1.16;2.00;0.40;297.27
2.435;220.6;0.28;1.67;0.45;297.13
2.851;231.1;0.89;1.95;0.49;296.78
3.403;239.3;1.78;2.13;0.32;296.74
2.387;255.1;1.52;0.93;0.39;296.72
1.916;260.3;1.25;0.45;0.47;296.64
1.983;253.1;1.09;0.78;0.47;296.72
3.358;245.5;1.99;1.91;0.34;296.75
2.638;243;1.38;1.44;0.44;296.72
1.478;249.9;0.56;0.41;0.45;296.76
0.795;252.7;-0.16;-0.28;0.47;296.90
0.975;238.1;0.03;0.20;0.51;296.96
0.51;238.2;-0.15;-0.18;0.52;296.97
0.597;202;-0.38;0.02;0.52;297.11
0.598;24.38;-0.51;-0.97;0.60;296.42
1.04;11.06;-0.40;-1.51;0.65;296.17
1.246;357.9;-0.03;-1.60;0.65;296.49
1.093;10.89;-0.22;-1.35;0.70;296.40
1.137;321.4;0.49;-1.12;0.56;296.69
1.111;265.9;0.44;-0.17;0.45;296.79
0.977;202.8;-0.48;0.39;0.48;296.52
0.523;227.5;-0.41;-0.09;0.55;296.50
0.385;225.3;-0.48;-0.27;0.53;296.66
0.485;248.8;-0.32;-0.25;0.46;296.79
0.502;265.9;-0.16;-0.32;0.50;296.79
0.396;279.1;-0.28;-0.32;0.52;296.81
0.52;0.994;-0.30;-0.71;0.50;296.79
0.583;359.9;-0.32;-0.79;0.56;296.94
0.789;349.9;-0.18;-1.00;0.57;297.10
0.712;325.1;-0.07;-0.75;0.52;297.52
0.986;285.3;0.33;-0.38;0.44;298.00
1.535;267.4;0.83;0.07;0.45;298.36
1.624;247.5;0.58;0.56;0.36;298.46
1.738;241.8;0.50;0.65;0.44;298.59
1.872;220.3;0.03;1.19;0.37;298.79
1.798;231.6;0.34;0.83;0.45;299.03
2.489;228.4;0.61;1.53;0.38;299.12
2.516;223.6;0.39;1.59;0.40;299.31
2.327;173.5;-1.61;1.37;0.50;299.53
2.425;227.1;0.36;1.54;0.40;299.31
1.665;203.4;-0.37;0.99;0.53;299.55
2.834;160.8;-2.41;1.68;0.55;299.77
3.016;155.7;-2.66;1.57;0.70;300.09
