TIME1	TIME	CR800Series	Radavg	Radstd
13/03/20	10:53:00	152	773.2	204.6
13/03/20	10:54:00	153	849	1091
13/03/20	10:55:00	154	298.2	223.9
13/03/20	10:56:00	155	209.5	1.55
13/03/20	10:57:00	156	780.2	203.2
13/03/20	10:58:00	157	858	811
13/03/20	10:59:00	158	494.4	322.3
13/03/20	11:00:00	159	216.2	1124
13/03/20	11:01:00	160	651	286.7
13/03/20	11:02:00	161	13.37	713.4
13/03/20	11:03:00	162	-71.83	12.18
13/03/20	11:04:00	163	-76.35	7736
13/03/20	11:05:00	164	-61.3	6534
13/03/20	11:06:00	165	-57.77	7611
13/03/20	11:07:00	166	-83.9	20.83
13/03/20	11:08:00	167	-93.6	2666
13/03/20	11:09:00	168	-101.9	3661
13/03/20	11:10:00	169	-110.9	3.92
