"TIMESTAMP","RECORD","batt_volt_Min","radi_Avg","radi_Std"
"2019-08-14 14:27:00",120656,13.81,0.597,0.199
"2019-08-14 14:27:10",120657,13.81,0.464,0.304
"2019-08-14 14:27:20",120658,13.8,0.663,0
"2019-08-14 14:27:30",120659,13.8,0.663,0
"2019-08-14 14:27:40",120660,13.79,1.127,0.597
"2019-08-14 14:27:50",120661,13.79,2.254,0.53
"2019-08-14 14:28:00",120662,13.78,1.061,0.325
"2019-08-14 14:28:10",120663,13.77,0.597,0.753
"2019-08-14 14:28:20",120664,13.77,0.464,0.424
"2019-08-14 14:28:30",120665,13.77,0.862,0.304
"2019-08-14 14:28:40",120666,13.76,0.597,0.464
"2019-08-14 14:28:50",120667,13.76,0.994,0.534
"2019-08-14 14:29:00",120668,13.75,1.392,0.199
"2019-08-14 14:29:10",120669,13.75,2.519,1.251
"2019-08-14 14:29:20",120670,13.75,0.994,0.534
"2019-08-14 14:29:30",120671,13.74,2.055,0.862
"2019-08-14 14:29:40",120672,13.74,1.458,0.578
"2019-08-14 14:29:50",120673,13.74,1.657,0.534
"2019-08-14 14:30:00",120674,13.73,0.994,0.534
"2019-08-14 14:30:10",120675,13.73,1.392,0.625
"2019-08-14 14:30:20",120676,13.73,2.187,0.729
"2019-08-14 14:30:30",120677,13.72,1.458,0.265
"2019-08-14 14:30:40",120678,13.71,1.458,0.496
"2019-08-14 14:30:50",120679,13.71,1.856,0.265
"2019-08-14 14:31:00",120680,13.71,0.795,0.265
"2019-08-14 14:31:10",120681,13.7,0.663,0
"2019-08-14 14:31:20",120682,13.7,0.663,0
"2019-08-14 14:31:30",120683,13.7,0.663,0
"2019-08-14 14:31:40",120684,13.69,0.464,0.304
"2019-08-14 14:31:50",120685,13.69,0.994,0.741
"2019-08-14 14:32:00",120686,13.69,4.905,6.091
"2019-08-14 14:32:10",120687,13.69,3.115,2.239
"2019-08-14 14:32:20",120688,13.68,12.66,11.97
"2019-08-14 14:32:30",120689,13.68,16.24,13.85
"2019-08-14 14:32:40",120690,13.68,16.37,19.89
"2019-08-14 14:32:50",120691,13.68,16.44,4.75
"2019-08-14 14:33:00",120692,13.67,22.07,9.71
"2019-08-14 14:33:10",120693,13.67,22.47,8.19
"2019-08-14 14:33:20",120694,13.67,21.28,8.43
"2019-08-14 14:33:30",120695,13.67,17.17,4.529
"2019-08-14 14:33:40",120696,13.66,11.8,2.092
"2019-08-14 14:33:50",120697,13.66,12.59,2.178
"2019-08-14 14:34:00",120698,13.66,11.27,10.59
"2019-08-14 14:34:10",120699,13.81,1.657,0.741
"2019-08-14 14:34:20",120700,13.84,2.055,0.199
"2019-08-14 14:34:30",120701,13.85,0.663,0
"2019-08-14 14:34:40",120702,13.85,0.663,0
"2019-08-14 14:34:50",120703,13.85,0.663,0
"2019-08-14 14:35:00",120704,13.85,0.663,0
"2019-08-14 14:35:10",120705,13.85,588.6,196
"2019-08-14 14:35:20",120706,13.85,399.8,311.2
"2019-08-14 14:35:30",120707,13.85,1.988,0
"2019-08-14 14:35:40",120708,13.85,265.6,323.9
