"DateTime";"CAPAO DO LEAO (PELOTAS)"
"2022-01-01 00:00:00";84
"2022-01-01 01:00:00";66
"2022-01-01 02:00:00";46
"2022-01-01 03:00:00";33
"2022-01-01 04:00:00";37
"2022-01-01 05:00:00";19
"2022-01-01 06:00:00";33
"2022-01-01 07:00:00";25
"2022-01-01 08:00:00";36
"2022-01-01 09:00:00";44
"2022-01-01 10:00:00";32
"2022-01-01 11:00:00";37
"2022-01-01 12:00:00";40
"2022-01-01 13:00:00";47
"2022-01-01 14:00:00";72
"2022-01-01 15:00:00";91
"2022-01-01 16:00:00";95
"2022-01-01 17:00:00";93
"2022-01-01 18:00:00";81
"2022-01-01 19:00:00";84
"2022-01-01 20:00:00";83
"2022-01-01 21:00:00";78
"2022-01-01 22:00:00";75
"2022-01-01 23:00:00";76
"2022-01-02 00:00:00";71
"2022-01-02 01:00:00";66
"2022-01-02 02:00:00";41
"2022-01-02 03:00:00";35
"2022-01-02 04:00:00";34
"2022-01-02 05:00:00";23
"2022-01-02 06:00:00";33
"2022-01-02 07:00:00";46
"2022-01-02 08:00:00";50
"2022-01-02 09:00:00";56
"2022-01-02 10:00:00";200
"2022-01-02 11:00:00";350
"2022-01-02 12:00:00";299
"2022-01-02 13:00:00";70
"2022-01-02 14:00:00";184
"2022-01-02 15:00:00";246
"2022-01-02 16:00:00";229
"2022-01-02 17:00:00";228
"2022-01-02 18:00:00";32
"2022-01-02 19:00:00";28
"2022-01-02 20:00:00";44
"2022-01-02 21:00:00";32
"2022-01-02 22:00:00";31
"2022-01-02 23:00:00";25
"2022-01-03 00:00:00";5
"2022-01-03 01:00:00";6
"2022-01-03 02:00:00";40
"2022-01-03 03:00:00";27
"2022-01-03 04:00:00";343
"2022-01-03 05:00:00";241
"2022-01-03 06:00:00";241
"2022-01-03 07:00:00";306
"2022-01-03 08:00:00";277
"2022-01-03 09:00:00";338
"2022-01-03 10:00:00";276
"2022-01-03 11:00:00";8
"2022-01-03 12:00:00";22
"2022-01-03 13:00:00";47
"2022-01-03 14:00:00";32
"2022-01-03 15:00:00";131
"2022-01-03 16:00:00";83
"2022-01-03 17:00:00";98
"2022-01-03 18:00:00";83
"2022-01-03 19:00:00";82
"2022-01-03 20:00:00";73
"2022-01-03 21:00:00";74
"2022-01-03 22:00:00";82
"2022-01-03 23:00:00";84
"2022-01-04 00:00:00";69
"2022-01-04 01:00:00";71
"2022-01-04 02:00:00";59
"2022-01-04 03:00:00";64
"2022-01-04 04:00:00";63
"2022-01-04 05:00:00";41
"2022-01-04 06:00:00";51
"2022-01-04 07:00:00";27
"2022-01-04 08:00:00";28
"2022-01-04 09:00:00";26
"2022-01-04 10:00:00";30
"2022-01-04 11:00:00";25
"2022-01-04 12:00:00";10
"2022-01-04 13:00:00";5
"2022-01-04 14:00:00";340
"2022-01-04 15:00:00";360
"2022-01-04 16:00:00";6
"2022-01-04 17:00:00";316
"2022-01-04 18:00:00";319
"2022-01-04 19:00:00";356
"2022-01-04 20:00:00";14
"2022-01-04 21:00:00";34
"2022-01-04 22:00:00";235
"2022-01-04 23:00:00";269
"2022-01-05 00:00:00";215
"2022-01-05 01:00:00";139
"2022-01-05 02:00:00";299
"2022-01-05 03:00:00";222
"2022-01-05 04:00:00";267
"2022-01-05 05:00:00";235
"2022-01-05 06:00:00";247
"2022-01-05 07:00:00";202
"2022-01-05 08:00:00";206
"2022-01-05 09:00:00";188
"2022-01-05 10:00:00";185
"2022-01-05 11:00:00";188
"2022-01-05 12:00:00";199
"2022-01-05 13:00:00";180
"2022-01-05 14:00:00";177
"2022-01-05 15:00:00";175
"2022-01-05 16:00:00";175
"2022-01-05 17:00:00";177
"2022-01-05 18:00:00";157
"2022-01-05 19:00:00";167
"2022-01-05 20:00:00";172
"2022-01-05 21:00:00";167
"2022-01-05 22:00:00";164
"2022-01-05 23:00:00";187
"2022-01-06 00:00:00";200
"2022-01-06 01:00:00";207
"2022-01-06 02:00:00";218
"2022-01-06 03:00:00";216
"2022-01-06 04:00:00";219
"2022-01-06 05:00:00";351
"2022-01-06 06:00:00";217
"2022-01-06 07:00:00";226
"2022-01-06 08:00:00";228
"2022-01-06 09:00:00";221
"2022-01-06 10:00:00";230
"2022-01-06 11:00:00";212
"2022-01-06 12:00:00";160
"2022-01-06 13:00:00";169
"2022-01-06 14:00:00";83
"2022-01-06 15:00:00";112
"2022-01-06 16:00:00";122
"2022-01-06 17:00:00";106
"2022-01-06 18:00:00";99
"2022-01-06 19:00:00";105
"2022-01-06 20:00:00";93
"2022-01-06 21:00:00";97
"2022-01-06 22:00:00";109
"2022-01-06 23:00:00";88
"2022-01-07 00:00:00";97
"2022-01-07 01:00:00";103
"2022-01-07 02:00:00";111
"2022-01-07 03:00:00";93
"2022-01-07 04:00:00";100
"2022-01-07 05:00:00";87
"2022-01-07 06:00:00";89
"2022-01-07 07:00:00";91
"2022-01-07 08:00:00";89
"2022-01-07 09:00:00";101
"2022-01-07 10:00:00";113
"2022-01-07 11:00:00";84
"2022-01-07 12:00:00";91
"2022-01-07 13:00:00";115
"2022-01-07 14:00:00";104
"2022-01-07 15:00:00";121
"2022-01-07 16:00:00";67
"2022-01-07 17:00:00";76
"2022-01-07 18:00:00";79
"2022-01-07 19:00:00";75
"2022-01-07 20:00:00";93
"2022-01-07 21:00:00";77
"2022-01-07 22:00:00";94
"2022-01-07 23:00:00";98
"2022-01-08 00:00:00";91
"2022-01-08 01:00:00";87
"2022-01-08 02:00:00";80
"2022-01-08 03:00:00";78
"2022-01-08 04:00:00";76
"2022-01-08 05:00:00";79
"2022-01-08 06:00:00";78
"2022-01-08 07:00:00";81
"2022-01-08 08:00:00";108
"2022-01-08 09:00:00";104
"2022-01-08 10:00:00";78
"2022-01-08 11:00:00";79
"2022-01-08 12:00:00";69
"2022-01-08 13:00:00";73
"2022-01-08 14:00:00";84
"2022-01-08 15:00:00";82
"2022-01-08 16:00:00";73
"2022-01-08 17:00:00";86
"2022-01-08 18:00:00";77
"2022-01-08 19:00:00";79
"2022-01-08 20:00:00";79
"2022-01-08 21:00:00";76
"2022-01-08 22:00:00";73
"2022-01-08 23:00:00";79
"2022-01-09 00:00:00";75
"2022-01-09 01:00:00";75
"2022-01-09 02:00:00";76
"2022-01-09 03:00:00";59
"2022-01-09 04:00:00";59
"2022-01-09 05:00:00";60
"2022-01-09 06:00:00";63
"2022-01-09 07:00:00";63
"2022-01-09 08:00:00";55
"2022-01-09 09:00:00";61
"2022-01-09 10:00:00";59
"2022-01-09 11:00:00";46
"2022-01-09 12:00:00";56
"2022-01-09 13:00:00";52
"2022-01-09 14:00:00";53
"2022-01-09 15:00:00";79
"2022-01-09 16:00:00";72
"2022-01-09 17:00:00";80
"2022-01-09 18:00:00";71
"2022-01-09 19:00:00";70
"2022-01-09 20:00:00";81
"2022-01-09 21:00:00";71
"2022-01-09 22:00:00";70
"2022-01-09 23:00:00";66
"2022-01-10 00:00:00";64
"2022-01-10 01:00:00";68
"2022-01-10 02:00:00";60
"2022-01-10 03:00:00";58
"2022-01-10 04:00:00";59
"2022-01-10 05:00:00";57
"2022-01-10 06:00:00";55
"2022-01-10 07:00:00";53
"2022-01-10 08:00:00";26
"2022-01-10 09:00:00";21
"2022-01-10 10:00:00";248
"2022-01-10 11:00:00";171
"2022-01-10 12:00:00";39
"2022-01-10 13:00:00";80
"2022-01-10 14:00:00";75
"2022-01-10 15:00:00";70
"2022-01-10 16:00:00";79
"2022-01-10 17:00:00";92
"2022-01-10 18:00:00";93
"2022-01-10 19:00:00";96
"2022-01-10 20:00:00";70
"2022-01-10 21:00:00";90
"2022-01-10 22:00:00";68
"2022-01-10 23:00:00";82
"2022-01-11 00:00:00";73
"2022-01-11 01:00:00";64
"2022-01-11 02:00:00";58
"2022-01-11 03:00:00";65
"2022-01-11 04:00:00";32
"2022-01-11 05:00:00";48
"2022-01-11 06:00:00";347
"2022-01-11 07:00:00";345
"2022-01-11 08:00:00";341
"2022-01-11 09:00:00";307
"2022-01-11 10:00:00";140
"2022-01-11 11:00:00";28
"2022-01-11 12:00:00";39
"2022-01-11 13:00:00";38
"2022-01-11 14:00:00";43
"2022-01-11 15:00:00";56
"2022-01-11 16:00:00";84
"2022-01-11 17:00:00";96
"2022-01-11 18:00:00";90
"2022-01-11 19:00:00";103
"2022-01-11 20:00:00";73
"2022-01-11 21:00:00";67
"2022-01-11 22:00:00";76
"2022-01-11 23:00:00";75
"2022-01-12 00:00:00";69
"2022-01-12 01:00:00";52
"2022-01-12 02:00:00";28
"2022-01-12 03:00:00";2
"2022-01-12 04:00:00";2
"2022-01-12 05:00:00";2
"2022-01-12 06:00:00";360
"2022-01-12 07:00:00";29
"2022-01-12 08:00:00";37
"2022-01-12 09:00:00";247
"2022-01-12 10:00:00";255
"2022-01-12 11:00:00";202
"2022-01-12 12:00:00";205
"2022-01-12 13:00:00";230
"2022-01-12 14:00:00";187
"2022-01-12 15:00:00";163
"2022-01-12 16:00:00";184
"2022-01-12 17:00:00";205
"2022-01-12 18:00:00";89
"2022-01-12 19:00:00";90
"2022-01-12 20:00:00";82
"2022-01-12 21:00:00";94
"2022-01-12 22:00:00";112
"2022-01-12 23:00:00";105
"2022-01-13 00:00:00";103
"2022-01-13 01:00:00";138
"2022-01-13 02:00:00";136
"2022-01-13 03:00:00";149
"2022-01-13 04:00:00";167
"2022-01-13 05:00:00";219
"2022-01-13 06:00:00";223
"2022-01-13 07:00:00";238
"2022-01-13 08:00:00";270
"2022-01-13 09:00:00";229
"2022-01-13 10:00:00";196
"2022-01-13 11:00:00";53
"2022-01-13 12:00:00";59
"2022-01-13 13:00:00";45
"2022-01-13 14:00:00";49
"2022-01-13 15:00:00";78
"2022-01-13 16:00:00";57
"2022-01-13 17:00:00";84
"2022-01-13 18:00:00";79
"2022-01-13 19:00:00";91
"2022-01-13 20:00:00";82
"2022-01-13 21:00:00";75
"2022-01-13 22:00:00";60
"2022-01-13 23:00:00";62
"2022-01-14 00:00:00";60
"2022-01-14 01:00:00";62
"2022-01-14 02:00:00";49
