cod;nome;período;valor
21;MA;1996;363
22;PI;1996;117
23;CE;1996;885
24;RN;1996;241
25;PB;1996;636
11;RO;1996;301
26;PE;1996;3022
27;AL;1996;741
28;SE;1996;238
29;BA;1996;1883
31;MG;1996;1261
32;ES;1996;1191
33;RJ;1996;8034
35;SP;1996;12320
41;PR;1996;1379
42;SC;1996;412
43;RS;1996;1482
50;MS;1996;722
51;MT;1996;660
52;GO;1996;782
11;RO;1997;355
53;DF;1997;613
52;GO;1997;744
51;MT;1997;766
50;MS;1997;729
43;RS;1997;1648
42;SC;1997;423
41;PR;1997;1581
35;SP;1997;12537
33;RJ;1997;7954
32;ES;1997;1416
31;MG;1997;1347
29;BA;1997;1981
28;SE;1997;190
27;AL;1997;642
26;PE;1997;3713
25;PB;1997;492
24;RN;1997;235
23;CE;1997;1026
22;PI;1997;142
21;MA;1997;333
17;TO;1997;112
16;AP;1997;140
15;PA;1997;754
14;RR;1997;90
13;AM;1997;468
12;AC;1997;100
53;DF;1998;633
11;RO;1998;494
12;AC;1998;110
13;AM;1998;534
14;RR;1998;134
15;PA;1998;774
16;AP;1998;160
17;TO;1998;129
21;MA;1998;278
22;PI;1998;140
23;CE;1998;946
24;RN;1998;222
25;PB;1998;455
26;PE;1998;4423
27;AL;1998;582
28;SE;1998;175
29;BA;1998;1271
31;MG;1998;1511
32;ES;1998;1675
33;RJ;1998;7573
35;SP;1998;13986
41;PR;1998;1625
42;SC;1998;414
43;RS;1998;1524
50;MS;1998;670
51;MT;1998;832
52;GO;1998;704
43;RS;1999;1533
11;RO;1999;432
12;AC;1999;51
13;AM;1999;527
14;RR;1999;154
15;PA;1999;642
16;AP;1999;192
17;TO;1999;137
21;MA;1999;262
22;PI;1999;133
23;CE;1999;1104
24;RN;1999;224
25;PB;1999;403
26;PE;1999;4217
27;AL;1999;554
28;SE;1999;329
29;BA;1999;913
31;MG;1999;1596
32;ES;1999;1524
33;RJ;1999;7261
35;SP;1999;15763
41;PR;1999;1706
42;SC;1999;385
50;MS;1999;571
51;MT;1999;822
52;GO;1999;853
53;DF;1999;659
52;GO;2000;1085
11;RO;2000;466
12;AC;2000;106
13;AM;2000;552
14;RR;2000;130
15;PA;2000;806
16;AP;2000;156
17;TO;2000;176
21;MA;2000;352
22;PI;2000;230
23;CE;2000;1238
24;RN;2000;257
25;PB;2000;507
26;PE;2000;4290
27;AL;2000;727
28;SE;2000;410
29;BA;2000;1242
31;MG;2000;2109
32;ES;2000;1435
33;RJ;2000;7350
35;SP;2000;15591
41;PR;2000;1789
42;SC;2000;433
53;DF;2000;687
43;RS;2000;1668
50;MS;2000;651
51;MT;2000;990
28;SE;2001;518
53;DF;2001;693
52;GO;2001;1167
51;MT;2001;973
50;MS;2001;621
43;RS;2001;1854
42;SC;2001;477
41;PR;2001;2052
35;SP;2001;15773
33;RJ;2001;7362
32;ES;2001;1452
31;MG;2001;2366
29;BA;2001;1622
27;AL;2001;830
26;PE;2001;4710
25;PB;2001;484
24;RN;2001;322
23;CE;2001;1284
22;PI;2001;262
21;MA;2001;563
17;TO;2001;212
16;AP;2001;182
15;PA;2001;966
14;RR;2001;108
13;AM;2001;485
12;AC;2001;121
11;RO;2001;573
11;RO;2002;615
12;AC;2002;151
13;AM;2002;513
14;RR;2002;122
15;PA;2002;1192
16;AP;2002;181
17;TO;2002;170
21;MA;2002;606
22;PI;2002;308
23;CE;2002;1445
24;RN;2002;299
25;PB;2002;607
26;PE;2002;4396
27;AL;2002;991
28;SE;2002;556
29;BA;2002;1759
31;MG;2002;2994
32;ES;2002;1644
33;RJ;2002;8335
35;SP;2002;14526
41;PR;2002;2266
42;SC;2002;585
43;RS;2002;1912
50;MS;2002;684
51;MT;2002;948
52;GO;2002;1370
53;DF;2002;641
15;PA;2003;1405
11;RO;2003;566
12;AC;2003;147
13;AM;2003;558
14;RR;2003;106
16;AP;2003;185
17;TO;2003;204
21;MA;2003;795
22;PI;2003;298
23;CE;2003;1563
24;RN;2003;405
25;PB;2003;616
26;PE;2003;4517
27;AL;2003;1039
28;SE;2003;469
29;BA;2003;2166
31;MG;2003;3869
32;ES;2003;1629
33;RJ;2003;8115
35;SP;2003;14048
41;PR;2003;2555
42;SC;2003;670
43;RS;2003;1908
50;MS;2003;705
51;MT;2003;908
52;GO;2003;1346
53;DF;2003;742
53;DF;2004;696
11;RO;2004;563
12;AC;2004;114
13;AM;2004;526
14;RR;2004;85
15;PA;2004;1519
16;AP;2004;172
17;TO;2004;198
21;MA;2004;732
22;PI;2004;327
23;CE;2004;1582
24;RN;2004;344
25;PB;2004;675
26;PE;2004;4174
27;AL;2004;1035
28;SE;2004;454
29;BA;2004;2262
31;MG;2004;4286
32;ES;2004;1619
33;RJ;2004;7731
35;SP;2004;11336
41;PR;2004;2826
42;SC;2004;638
43;RS;2004;1982
50;MS;2004;656
51;MT;2004;853
52;GO;2004;1524
43;RS;2005;2021
11;RO;2005;555
12;AC;2005;124
13;AM;2005;599
14;RR;2005;95
15;PA;2005;1926
16;AP;2005;196
17;TO;2005;190
21;MA;2005;935
22;PI;2005;368
23;CE;2005;1699
24;RN;2005;406
25;PB;2005;745
26;PE;2005;4330
27;AL;2005;1203
28;SE;2005;487
29;BA;2005;2881
31;MG;2005;4223
32;ES;2005;1602
33;RJ;2005;7408
35;SP;2005;8870
41;PR;2005;2977
42;SC;2005;633
50;MS;2005;631
51;MT;2005;907
52;GO;2005;1468
53;DF;2005;657
52;GO;2006;1509
13;AM;2006;699
14;RR;2006;111
15;PA;2006;2073
16;AP;2006;202
12;AC;2006;158
17;TO;2006;229
21;MA;2006;969
22;PI;2006;418
23;CE;2006;1792
24;RN;2006;455
25;PB;2006;825
26;PE;2006;4472
27;AL;2006;1620
28;SE;2006;585
11;RO;2006;585
29;BA;2006;3311
