"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:Terra agua.CR1","28459","saida1min"
"TIMESTAMP","RECORD","Tterra_Avg","Tagua_Avg","batt_volt_Min","PTemp"
"TS","RN","","","",""
"","","Avg","Avg","Min","Smp"
"2020-02-14 10:33:00",74,34.05,30.47,12.6,26.59
"2020-02-14 10:34:00",75,34.24,30.75,12.6,26.62
"2020-02-14 10:35:00",76,34.67,30.85,12.6,26.65
"2020-02-14 10:36:00",77,35.01,31.01,12.6,26.65
"2020-02-14 10:37:00",78,35.3,31.19,12.6,26.68
"2020-02-14 10:38:00",79,35.56,31.33,12.6,26.68
"2020-02-14 10:39:00",80,35.82,31.51,12.6,26.72
"2020-02-14 10:40:00",81,36.06,31.58,12.6,26.72
"2020-02-14 10:41:00",82,36.31,31.59,12.6,26.74
"2020-02-14 10:42:00",83,36.62,31.56,12.6,26.78
"2020-02-14 10:43:00",84,36.71,31.63,12.6,26.78
"2020-02-14 10:44:00",85,36.97,31.59,12.6,26.81
"2020-02-14 10:45:00",86,37.04,31.64,12.6,26.84
"2020-02-14 10:46:00",87,37.17,31.57,12.59,26.84
"2020-02-14 10:47:00",88,37.18,31.6,12.6,26.87
"2020-02-14 10:48:00",89,37.08,31.64,12.6,26.87
"2020-02-14 10:49:00",90,37.05,31.61,12.6,26.9
"2020-02-14 10:50:00",91,36.93,31.62,12.59,26.9
"2020-02-14 10:51:00",92,36.83,31.6,12.59,26.93
"2020-02-14 10:52:00",93,36.68,31.6,12.59,26.93
"2020-02-14 10:53:00",94,36.53,31.48,12.59,26.96
"2020-02-14 10:54:00",95,36.45,31.44,12.59,26.96
"2020-02-14 10:55:00",96,36.34,31.31,12.59,26.96
"2020-02-14 10:56:00",97,36.17,31.24,12.59,27
"2020-02-14 10:57:00",98,36.04,31.09,12.59,27
"2020-02-14 10:58:00",99,35.94,30.92,12.59,27.03
"2020-02-14 10:59:00",100,35.82,30.81,12.59,27.03
"2020-02-14 11:00:00",101,35.49,30.88,12.59,27
"2020-02-14 11:01:00",102,35.43,30.81,12.59,27
"2020-02-14 11:02:00",103,35.25,30.67,12.59,26.96
"2020-02-14 11:03:00",104,35.05,30.72,12.59,26.93
"2020-02-14 11:04:00",105,35.03,30.42,12.59,26.9
"2020-02-14 11:05:00",106,34.81,30.38,12.59,26.87
"2020-02-14 11:06:00",107,34.62,30.44,12.59,26.84
"2020-02-14 11:07:00",108,34.41,30.36,12.59,26.78
"2020-02-14 11:08:00",109,34.32,30.21,12.59,26.74
"2020-02-14 11:09:00",110,34.15,30.08,12.59,26.72
"2020-02-14 11:10:00",111,33.93,30.03,12.59,26.68
"2020-02-14 11:11:00",112,33.87,29.93,12.59,26.62
"2020-02-14 11:12:00",113,33.61,29.91,12.59,26.59
"2020-02-14 11:13:00",114,33.63,29.67,12.59,26.56
"2020-02-14 11:14:00",115,33.41,29.69,12.59,26.5
"2020-02-14 11:15:00",116,33.24,29.64,12.59,26.47
"2020-02-14 11:16:00",117,29.46,28.24,12.59,26.44
"2020-02-14 11:17:00",118,"NAN","NAN",12.58,26.41
"2020-02-21 07:44:00",119,"NAN","NAN",12.58,26.28
"2020-02-21 07:45:00",120,"NAN","NAN",12.58,26.22
"2020-02-21 07:46:00",121,"NAN","NAN",12.58,26.16
"2020-02-21 07:47:00",122,"NAN","NAN",12.58,26.1
"2020-02-21 07:48:00",123,"NAN","NAN",12.58,26.04
"2020-02-21 07:54:00",0,"NAN","NAN",12.58,25.95
"2020-02-21 07:55:00",1,29.21,"NAN",12.58,25.95
"2020-02-21 07:56:00",2,33.22,"NAN",12.58,25.95
"2020-02-21 07:57:00",3,33.28,"NAN",12.58,25.98
"2020-02-21 07:58:00",4,35.08,33.14,12.58,25.98
"2020-02-21 07:59:00",5,35.45,33.21,12.58,25.95
"2020-02-21 08:00:00",6,35.49,31.79,12.58,25.92
"2020-02-21 08:01:00",7,34.8,32.69,12.58,32.37
"2020-02-21 08:02:00",8,29.44,26.79,12.58,25.85
"2020-02-21 08:03:00",9,25.32,29.84,12.56,25.7
"2020-02-21 08:04:00",10,28.47,25.24,12.55,25.7
"2020-02-21 08:05:00",11,23.98,23.47,12.56,25.67
"2020-02-21 08:07:00",12,26.23,26.36,12.58,25.83
"2020-02-21 08:08:00",13,26.32,26.37,12.58,25.89
"2020-02-21 08:09:00",14,26.33,26.25,12.58,25.95
"2020-02-21 08:10:00",15,26.27,26.89,12.58,25.98
"2020-02-21 08:11:00",16,26.19,25.65,12.58,26.04
"2020-02-21 08:12:00",17,25.52,25.07,12.58,26.07
"2020-02-21 08:13:00",18,25.07,24.92,12.58,26.07
"2020-02-21 08:14:00",19,24.78,24.58,12.58,26.07
"2020-02-21 08:15:00",20,24.47,24.32,12.58,26.07
"2020-02-21 08:16:00",21,24.52,24.4,12.58,26.07
"2020-02-21 08:17:00",22,28.01,25.64,12.58,26.07
