ID;Estação;latitude;longitude;altitude
82741;ALTO TAPAJOS 82741;-7.35;-57.52;140
82753;OURICURI;-7.88;-40.09;459
82760;OEIRAS;-7.05;-42.07;251
82764;CAROLINA;-7.33;-47.43;183
82765;CAROLINA;-7.34;-47.46;193
82768;BALSAS;-7.53;-46.05;259
82771;URUCUI;-7.23;-44.55;187
82777;CAMPOS SALES;-7.08;-40.39;583
82779;UMBUZEIRO 82779;-7.7;-35.7;499
82780;PICOS;-7.08;-41.43;208
82781;N DA MATA;-7.73;-35.25;87
82784;BARBALHA;-7.3;-39.27;409
82789;TRIUNFO;-7.83;-38.12;1,020
82791;PATOS;-7.05;-37.27;249
82792;MONTEIRO;-7.89;-37.12;599
82795;CAMPINA GRANDE;-7.23;-35.9;548
82796;CAMPINA GRANDE;-7.27;-35.88;500
82797;SURUBIM;-7.84;-35.8;418
82798;JOAO PESSOA;-7.1;-34.85;7
82800;JOAO PESSOA AEROPORTO;-7.12;-34.95;65
82807;TARAUACA;-8.16;-70.77;190
82808;TARAUACA;-8.15;-70.77;188
82816;BOCADOACRE;-8.72;-67.32;112
82824;PORTO VELHO AEROPORTO;-8.7;-63.9;102
82825;PORTO VELHO;-8.77;-63.92;95
82861;CONCEICAO DO ARAGUAIA;-8.26;-49.26;157
82862;CONCEICAO DO ARAGUAIA;-8.33;-49.3;194
82863;PEDRO AFONSO;-8.97;-48.18;187
82870;VALE DO GURGUEIA (CRISTIANO CASTRO);-8.44;-43.87;265
82879;SAO JOAO DO PIAUI;-8.36;-42.25;235
82882;PAULISTANA;-8.13;-41.14;375
82886;CABROBO;-8.5;-39.32;341
82890;ARCOVERDE;-8.43;-37.06;681
82892;PESQUEIRA;-8.37;-36.71;639
82893;GARANHUNS;-8.91;-36.49;822
82894;PAULO AFONSO AEROPORTO;-9.4;-38.25;269
82895;CARUARU;-8.28;-35.97;529
82899;RECIFE AEROPORTO;-8.12;-34.92;19
82900;RECIFE (CURADO);-8.06;-34.96;7
82913;SENA MADUREIRA 82913;-9.07;-68.67;135
82915;RIO BRANCO;-9.96;-67.87;160
82917;RIO BRANCO AEROPORTO;-9.87;-67.9;143
82927;COTRIGUACU;-9.55;-58.41;250
82930;CACHIMBO AEROPORTO;-9.33;-54.97;537
82965;ALTA FLORESTA AEROPORTO;-9.85;-56.1;288
82970;ALTO PARNAIBA;-9.11;-45.93;285
82975;BOM JESUS DO PIAUI;-9.07;-44.37;331
82976;CARACOL;-9.29;-43.32;523
82979;REMANSO;-9.63;-42.08;401
82983;PETROLINA;-9.39;-40.52;370
82984;PETROLINA AEROPORTO;-9.37;-40.55;375
82986;PAULO AFONSO;-9.36;-38.21;253
82987;PETROLANDIA;-9.07;-38.32;286
82988;MATA GRANDE 82988;-9.12;-37.73;635
82989;SAO VICENTE DO SUL (A889);-29.7;-54.69;605
82990;PAO DE ACUCAR;-9.75;-37.43;19
82991;MAJOR ISIDORO;-9.55;-37.02;200
82992;PALMEIRA DOS INDIOS;-9.42;-36.62;275
82993;MACEIO AEROPORTO;-9.52;-35.78;117
82994;MACEIO;-9.55;-35.77;65
82995;ARAPIRACA;-9.73;-36.77;270
82996;PORTO DE PEDRAS;-9.16;-35.3;50
82997;ANADIA;-9.63;-36.33;135
83002;PENEDO (ALAGOAS);-10.29;-36.58;24
83004;SAO PAULO (IAG);-23.65;-46.62;
83007;ALTO DA BOA VISTA;-22.97;-43.28;347
83010;BRASILEIA;-11.02;-68.73;260
83011;BACACHERI AEROPORTO;-25.4;-49.23;932
83013;MUNIZ FREIRE;-20.47;-41.41;530
83015;MARIA DA FE;-22.31;-45.37;1,276
83016;GUAJARA MIRIM;-10.78;-65.27;146
83032;LAMBARI;-21.95;-45.31;878
83033;PALMAS;-10.19;-48.3;280
83034;ITARANA;-19.87;-40.87;245
83036;SAO SEBASTIAO;-23.8;-45.4;5
83037;CORONEL PACHECO;-21.56;-43.25;435
83038;ARACRUZ 83038;-19.82;-40.25;65
83040;JACUTINGA;-22.2;-46.62;853
83043;ALFREDO CHAVES (DNOS);-20.63;-40.75;110
83045;VENDA NOVA;-20.32;-41.17;750
83048;RIO BONITO;-22.71;-42.65;62
83049;AVELAR (PATY DO ALFERES);-22.35;-43.42;507
83052;SANTA MONICA 83052;-22.35;-43.7;364
83054;JACAREPAGUA AEROPORTO;-22.99;-43.37;3
83055;PICO DO COUTO;-22.47;-43.3;0
83057;MACAE - PESAGRO;-19.83;-41.76;0
83058;SAO ROQUE;-23.6;-47.1;750
83060;PARAGUACU PAULISTA 83060;-22.4;-50.57;548
83061;PONTE ALTA;-19.83;-42.63;450
83062;PALOTINA;-24.34;-53.83;371
83063;PORTO NACIONAL;-10.72;-48.4;265
83064;PORTO NACIONAL;-10.71;-48.41;239
83065;PALMAS AEROPORTO;-10.28;-48.35;238
83066;SAO SEBASTIAO;-23.8;-45.42;5
83072;SANTA BARBARA;-20.15;-43.4;722
83074;SUZANO 83074;-23.53;-46.25;730
83075;GUARULHOS;-23.43;-46.46;735
83076;SANTA RITA DE CASSIA (IBIPETUBA);-11;-44.52;450
83077;CAMPO DO TENENTE 83077;-25.98;-49.68;0
83080;COLOMBO-EMBRAPA-CNPF 83080;-25.33;-49.23;915
83083;SERRA AZUL;-20.02;-44.35;765
83086;SANTA HELENA 83086;-24.88;-54.38;240
83087;GRANJA JURITI;-22.3;-43.03;980
