ID,ano,mes,dia,Precipitacao,TempMedia,TempMaxima,TempMinima,URMedia
90,1961.0,4.0,1.0,0.0,18.46,23.6,14.6,75.0
91,1961.0,4.0,2.0,11.4,18.22,23.7,15.6,89.25
92,1961.0,4.0,3.0,0.0,16.36,20.6,13.6,90.25
93,1961.0,4.0,4.0,44.5,17.92,22.4,14.7,92.0
94,1961.0,4.0,5.0,0.4,18.88,26.3,14.7,83.0
95,1961.0,4.0,6.0,0.2,15.02,22.4,12.4,86.25
96,1961.0,4.0,7.0,0.0,17.48,25.4,11.0,75.0
97,1961.0,4.0,8.0,0.0,20.02,26.4,14.3,74.0
98,1961.0,4.0,9.0,0.0,18.64,23.3,17.1,86.25
99,1961.0,4.0,10.0,2.3,18.74,20.6,16.4,90.5
100,1961.0,4.0,11.0,11.0,17.48,20.0,16.4,92.0
101,1961.0,4.0,12.0,22.4,17.38,19.6,16.4,91.75
102,1961.0,4.0,13.0,11.0,17.76,21.2,16.4,94.0
103,1961.0,4.0,14.0,0.2,18.28,23.4,16.0,94.5
104,1961.0,4.0,15.0,40.3,15.3,17.6,14.4,93.5
105,1961.0,4.0,16.0,12.8,18.56,22.6,14.6,89.0
106,1961.0,4.0,17.0,0.8,18.52,20.4,17.8,95.0
107,1961.0,4.0,18.0,14.7,15.74,17.8,14.5,98.5
108,1961.0,4.0,19.0,13.8,12.28,16.8,10.6,90.0
109,1961.0,4.0,20.0,0.0,12.54,19.8,7.2,86.25
110,1961.0,4.0,21.0,0.0,16.4,23.1,11.4,79.25
111,1961.0,4.0,22.0,0.0,15.08,17.2,13.7,88.5
112,1961.0,4.0,23.0,0.5,16.52,21.4,14.1,85.25
113,1961.0,4.0,24.0,0.0,11.46,17.2,9.4,85.5
114,1961.0,4.0,25.0,0.1,11.14,18.6,5.8,86.25
115,1961.0,4.0,26.0,0.0,13.26,19.7,9.9,86.25
116,1961.0,4.0,27.0,0.2,12.86,18.7,8.8,79.25
117,1961.0,4.0,28.0,0.0,12.32,19.0,10.0,85.0
118,1961.0,4.0,29.0,8.1,12.7,19.3,8.4,82.25
119,1961.0,4.0,30.0,0.0,14.4,22.4,10.0,77.0
120,1961.0,5.0,1.0,0.0,14.5,22.2,8.9,81.5
121,1961.0,5.0,2.0,0.0,15.28,20.6,12.6,83.25
122,1961.0,5.0,3.0,0.2,15.62,22.2,11.2,80.25
123,1961.0,5.0,4.0,0.0,16.36,23.6,12.2,72.25
124,1961.0,5.0,5.0,0.0,17.84,25.3,12.8,84.0
125,1961.0,5.0,6.0,0.0,17.96,23.6,13.6,84.75
126,1961.0,5.0,7.0,0.1,17.32,21.4,15.6,87.75
127,1961.0,5.0,8.0,6.4,13.04,16.7,11.2,96.25
128,1961.0,5.0,9.0,0.1,13.5,21.2,9.0,83.75
129,1961.0,5.0,10.0,0.4,12.92,18.0,8.4,90.5
130,1961.0,5.0,11.0,0.0,15.42,21.6,10.3,73.75
131,1961.0,5.0,12.0,0.0,16.04,22.3,11.8,76.5
132,1961.0,5.0,13.0,0.0,16.78,24.4,12.7,80.75
133,1961.0,5.0,14.0,0.0,16.82,23.1,13.8,86.0
134,1961.0,5.0,15.0,0.0,17.46,22.4,14.9,84.25
135,1961.0,5.0,16.0,0.7,16.56,17.8,16.1,90.5
136,1961.0,5.0,17.0,10.0,15.5,17.2,14.6,96.25
137,1961.0,5.0,18.0,28.2,13.42,14.8,12.7,98.0
138,1961.0,5.0,19.0,4.9,8.42,12.7,5.8,84.25
139,1961.0,5.0,20.0,0.4,6.88,13.4,2.4,86.25
140,1961.0,5.0,21.0,0.0,12.12,20.8,6.2,72.75
141,1961.0,5.0,22.0,0.0,14.0,21.2,10.2,79.0
142,1961.0,5.0,23.0,0.0,14.48,21.0,11.0,82.75
143,1961.0,5.0,24.0,0.1,14.74,22.6,10.7,84.25
144,1961.0,5.0,25.0,0.4,14.26,22.0,10.2,83.25
145,1961.0,5.0,26.0,0.0,14.82,21.4,11.1,78.75
146,1961.0,5.0,27.0,0.0,14.58,20.4,11.2,71.75
147,1961.0,5.0,28.0,0.0,14.74,19.2,10.3,75.5
148,1961.0,5.0,29.0,0.0,16.58,23.9,12.4,61.0
149,1961.0,5.0,30.0,0.0,16.4,22.2,13.8,61.75
150,1961.0,5.0,31.0,0.0,16.86,24.0,12.0,59.0
151,1961.0,6.0,1.0,0.0,15.7,19.0,13.7,87.0
152,1961.0,6.0,2.0,2.5,14.98,20.6,11.7,83.5
153,1961.0,6.0,3.0,0.0,17.36,23.4,12.2,72.75
154,1961.0,6.0,4.0,0.0,17.18,23.7,14.6,82.25
155,1961.0,6.0,5.0,70.0,12.0,14.6,10.6,98.75
156,1961.0,6.0,6.0,0.6,16.44,21.0,11.8,79.25
157,1961.0,6.0,7.0,0.0,18.04,23.6,15.2,77.0
158,1961.0,6.0,8.0,0.0,18.46,24.4,14.8,75.25
159,1961.0,6.0,9.0,0.0,18.64,24.3,15.7,64.25
160,1961.0,6.0,10.0,11.0,12.92,18.2,10.8,97.5
161,1961.0,6.0,11.0,56.1,8.6,10.8,7.6,99.25
162,1961.0,6.0,12.0,4.0,8.22,8.5,8.0,100.0
163,1961.0,6.0,13.0,11.2,6.48,8.2,5.6,100.0
164,1961.0,6.0,14.0,7.8,2.0,5.7,0.7,82.5
165,1961.0,6.0,15.0,0.0,1.72,8.3,-1.6,83.0
166,1961.0,6.0,16.0,0.0,2.7,9.7,-2.2,78.5
167,1961.0,6.0,17.0,0.0,7.38,16.6,0.7,62.75
168,1961.0,6.0,18.0,0.0,11.16,14.6,6.8,83.5
169,1961.0,6.0,19.0,6.1,13.8,15.4,12.1,97.25
170,1961.0,6.0,20.0,68.3,12.14,14.1,11.0,99.0
171,1961.0,6.0,21.0,3.7,12.3,14.8,10.7,97.25
172,1961.0,6.0,22.0,0.2,11.12,14.0,10.0,94.75
173,1961.0,6.0,23.0,0.2,12.42,19.1,8.4,81.75
174,1961.0,6.0,24.0,0.0,14.0,20.8,8.6,66.5
175,1961.0,6.0,25.0,0.0,15.06,22.1,10.7,77.75
176,1961.0,6.0,26.0,0.0,16.86,22.6,12.7,71.75
177,1961.0,6.0,27.0,0.0,18.28,23.8,15.2,71.25
178,1961.0,6.0,28.0,0.0,18.92,24.4,15.2,67.75
179,1961.0,6.0,29.0,0.1,14.4,19.4,11.4,93.75
180,1961.0,6.0,30.0,2.1,17.18,22.3,12.8,81.5
181,1961.0,7.0,1.0,0.0,18.72,23.2,15.7,67.5
182,1961.0,7.0,2.0,0.0,15.5,19.4,14.3,93.75
183,1961.0,7.0,3.0,5.7,11.3,15.4,9.8,97.25
184,1961.0,7.0,4.0,2.3,14.3,20.7,8.3,80.75
185,1961.0,7.0,5.0,0.0,16.8,23.0,13.2,69.25
186,1961.0,7.0,6.0,0.0,17.58,22.0,16.1,78.75
187,1961.0,7.0,7.0,11.8,8.22,16.3,5.0,98.5
188,1961.0,7.0,8.0,43.3,7.46,9.0,6.2,99.0
189,1961.0,7.0,9.0,4.1,6.92,8.8,5.4,98.5
190,1961.0,7.0,10.0,0.1,10.9,15.4,6.3,83.0
191,1961.0,7.0,11.0,0.0,13.52,18.8,9.7,81.5
192,1961.0,7.0,12.0,0.0,15.78,21.2,12.1,76.0
193,1961.0,7.0,13.0,0.4,17.1,22.1,14.4,85.0
194,1961.0,7.0,14.0,13.8,14.5,17.3,12.9,95.5
195,1961.0,7.0,15.0,9.2,14.08,16.2,13.3,94.5
196,1961.0,7.0,16.0,6.3,14.32,18.0,12.4,90.75
197,1961.0,7.0,17.0,10.8,13.98,16.6,12.6,87.5
198,1961.0,7.0,18.0,0.1,15.28,21.4,11.6,82.5
199,1961.0,7.0,19.0,0.0,18.52,24.7,14.2,62.5
200,1961.0,7.0,20.0,0.0,19.16,25.3,14.7,55.75
201,1961.0,7.0,21.0,0.0,14.22,18.3,11.5,88.75
202,1961.0,7.0,22.0,13.2,8.56,14.3,5.1,73.5
203,1961.0,7.0,23.0,0.0,12.32,19.4,6.8,65.25
204,1961.0,7.0,24.0,0.0,15.4,20.8,10.4,70.0
205,1961.0,7.0,25.0,0.0,18.52,22.6,14.6,68.25
206,1961.0,7.0,26.0,28.1,6.9,19.7,3.3,81.5
207,1961.0,7.0,27.0,0.2,5.44,12.0,0.4,88.0
208,1961.0,7.0,28.0,0.0,3.78,11.1,-0.3,76.75
209,1961.0,7.0,29.0,0.0,7.94,17.4,0.3,77.75
210,1961.0,7.0,30.0,0.0,11.66,18.7,7.2,83.0
211,1961.0,7.0,31.0,0.0,11.12,18.6,8.7,85.25
212,,,,0.0,,,,
213,,,,0.0,,,,
214,,,,0.0,,,,
215,,,,0.0,,,,
216,,,,0.0,,,,
217,,,,0.0,,,,
218,,,,0.0,,,,
219,,,,0.0,,,,
220,,,,0.0,,,,
221,,,,0.0,,,,
222,,,,0.0,,,,
223,,,,0.0,,,,
224,,,,0.0,,,,
225,,,,0.0,,,,
226,,,,0.0,,,,
227,,,,0.0,,,,
228,,,,0.0,,,,
229,,,,0.0,,,,
230,,,,0.0,,,,
231,,,,0.0,,,,
232,,,,0.0,,,,
233,,,,0.0,,,,
234,,,,0.0,,,,
235,,,,0.0,,,,
236,,,,0.0,,,,
237,,,,0.0,,,,
238,,,,0.0,,,,
239,,,,0.0,,,,
240,,,,0.0,,,,
241,,,,0.0,,,,
242,,,,0.0,,,,
243,1961.0,9.0,1.0,0.0,17.7,24.9,9.7,80.75
244,1961.0,9.0,2.0,0.0,18.76,24.3,15.3,77.0
245,1961.0,9.0,3.0,0.0,21.06,26.7,18.4,77.25
246,1961.0,9.0,4.0,63.3,12.2,18.7,9.8,99.0
247,1961.0,9.0,5.0,48.5,7.6,9.8,6.8,100.0
248,1961.0,9.0,6.0,30.9,7.32,8.6,5.6,96.25
249,1961.0,9.0,7.0,0.0,10.08,14.4,6.4,84.75
250,1961.0,9.0,8.0,0.1,12.92,18.4,9.4,86.25
251,1961.0,9.0,9.0,3.8,14.28,17.4,12.5,82.0
252,1961.0,9.0,10.0,0.2,10.3,13.3,7.9,91.5
253,1961.0,9.0,11.0,0.4,13.66,19.4,8.2,86.75
254,1961.0,9.0,12.0,15.6,15.34,22.6,12.7,85.0
255,1961.0,9.0,13.0,0.0,18.4,20.6,12.4,82.75
256,1961.0,9.0,14.0,6.0,21.74,26.2,18.6,70.5
257,1961.0,9.0,15.0,29.6,16.06,21.5,14.2,99.5
258,1961.0,9.0,16.0,5.5,18.44,23.6,13.2,90.75
259,1961.0,9.0,17.0,0.3,17.6,19.4,17.1,98.75
260,1961.0,9.0,18.0,1.0,14.12,17.1,13.1,98.75
261,1961.0,9.0,19.0,2.0,14.86,16.8,12.4,94.25
262,1961.0,9.0,20.0,6.1,18.02,23.4,15.4,89.5
263,1961.0,9.0,21.0,29.0,14.56,17.4,13.6,99.25
264,1961.0,9.0,22.0,9.1,12.2,16.4,10.0,91.25
265,1961.0,9.0,23.0,0.0,15.42,21.6,10.1,74.75
266,1961.0,9.0,24.0,10.6,15.44,16.3,14.7,96.0
267,1961.0,9.0,25.0,10.1,19.72,27.2,14.4,76.0
268,1961.0,9.0,26.0,16.3,15.84,19.6,14.0,88.25
269,1961.0,9.0,27.0,24.7,15.8,18.8,14.4,92.0
270,1961.0,9.0,28.0,27.9,11.22,15.6,9.0,99.0
271,1961.0,9.0,29.0,53.0,8.08,10.2,6.4,99.0
272,1961.0,9.0,30.0,10.4,11.4,18.8,4.9,78.25
273,1961.0,10.0,1.0,0.1,17.96,26.8,8.0,53.0
274,1961.0,10.0,2.0,0.0,20.66,29.4,15.2,57.75
275,1961.0,10.0,3.0,0.0,21.86,29.8,14.3,48.75
276,1961.0,10.0,4.0,0.0,20.26,27.4,14.7,67.0
277,1961.0,10.0,5.0,0.0,21.86,28.4,15.8,68.25
278,1961.0,10.0,6.0,0.0,19.8,27.8,16.4,84.5
279,1961.0,10.0,7.0,20.8,16.46,18.2,15.4,97.5
280,1961.0,10.0,8.0,2.9,16.8,22.7,13.4,85.5
281,1961.0,10.0,9.0,0.0,20.12,27.4,14.4,76.25
282,1961.0,10.0,10.0,16.8,16.54,19.9,15.2,92.5
283,1961.0,10.0,11.0,8.5,16.62,19.4,15.0,89.25
284,1961.0,10.0,12.0,1.8,18.0,23.4,15.4,82.5
285,1961.0,10.0,13.0,0.0,19.56,25.8,14.4,76.75
286,1961.0,10.0,14.0,9.7,15.36,20.8,12.8,89.5
287,1961.0,10.0,15.0,12.2,13.66,19.1,10.4,84.25
288,1961.0,10.0,16.0,0.0,17.02,24.1,12.2,75.5
289,1961.0,10.0,17.0,3.8,16.26,19.1,14.4,87.75
290,1961.0,10.0,18.0,1.1,16.22,22.9,13.0,77.25
291,1961.0,10.0,19.0,0.0,19.32,24.9,13.0,73.25
292,1961.0,10.0,20.0,36.0,20.04,24.0,16.4,82.75
293,1961.0,10.0,21.0,34.7,15.5,21.6,12.8,97.5
294,1961.0,10.0,22.0,5.3,12.9,18.8,10.4,89.75
295,1961.0,10.0,23.0,0.0,17.7,23.4,10.7,82.0
296,1961.0,10.0,24.0,0.0,18.12,21.0,16.0,87.75
297,1961.0,10.0,25.0,66.8,17.3,20.3,15.3,89.5
298,1961.0,10.0,26.0,1.2,18.42,25.8,15.1,74.5
299,1961.0,10.0,27.0,0.0,20.88,29.4,14.7,65.25
300,1961.0,10.0,28.0,0.0,21.38,29.4,16.4,61.0
301,1961.0,10.0,29.0,0.0,21.04,28.3,16.2,68.25
302,1961.0,10.0,30.0,0.0,19.0,23.3,16.8,84.25
303,1961.0,10.0,31.0,15.7,18.36,22.2,14.9,91.25
304,1961.0,11.0,1.0,15.6,20.28,23.7,17.7,86.0
305,1961.0,11.0,2.0,2.9,21.18,28.2,17.3,81.25
306,1961.0,11.0,3.0,0.5,20.62,27.6,18.1,81.0
307,1961.0,11.0,4.0,1.4,20.28,27.8,16.8,85.5
308,1961.0,11.0,5.0,13.0,14.38,18.1,12.6,97.75
309,1961.0,11.0,6.0,12.8,13.76,20.4,11.2,83.75
310,1961.0,11.0,7.0,0.3,15.7,23.8,8.8,67.75
311,1961.0,11.0,8.0,0.0,17.7,26.0,10.7,62.0
312,1961.0,11.0,9.0,0.0,20.98,28.4,13.6,54.0
313,1961.0,11.0,10.0,0.0,17.88,22.2,15.8,85.5
314,1961.0,11.0,11.0,0.0,15.9,23.6,12.3,82.25
315,1961.0,11.0,12.0,0.0,15.4,23.7,9.1,71.0
316,1961.0,11.0,13.0,0.0,19.2,26.2,13.2,76.5
317,1961.0,11.0,14.0,23.8,14.98,19.7,12.8,85.25
318,1961.0,11.0,15.0,3.8,16.96,24.6,10.7,62.25
319,1961.0,11.0,16.0,0.0,19.02,27.0,12.8,67.0
320,1961.0,11.0,17.0,0.0,20.32,28.8,13.7,66.5
321,1961.0,11.0,18.0,0.0,20.84,28.2,13.6,59.25
322,1961.0,11.0,19.0,0.0,21.48,28.0,16.2,81.5
323,1961.0,11.0,20.0,24.9,19.1,22.8,16.8,93.75
324,1961.0,11.0,21.0,3.7,20.28,24.3,16.8,85.5
325,1961.0,11.0,22.0,0.2,20.68,24.9,18.4,83.75
326,1961.0,11.0,23.0,8.4,20.9,26.6,17.1,83.75
327,1961.0,11.0,24.0,0.0,20.36,28.0,17.0,81.25
328,1961.0,11.0,25.0,35.0,21.2,27.8,16.8,86.0
329,1961.0,11.0,26.0,26.0,19.76,23.0,16.2,91.75
330,1961.0,11.0,27.0,18.8,21.34,28.2,15.3,78.5
331,1961.0,11.0,28.0,0.3,20.82,26.6,17.9,83.0
332,1961.0,11.0,29.0,16.3,19.2,25.2,16.4,88.25
333,1961.0,11.0,30.0,2.4,22.04,29.4,15.7,71.25
334,1961.0,12.0,1.0,28.0,21.42,27.7,15.2,83.75
335,1961.0,12.0,2.0,8.3,17.6,21.6,16.2,95.5
336,1961.0,12.0,3.0,23.1,14.14,19.6,10.8,88.5
337,1961.0,12.0,4.0,0.0,16.3,24.0,8.9,67.25
338,1961.0,12.0,5.0,0.0,16.54,24.4,11.9,64.5
339,1961.0,12.0,6.0,0.0,18.34,25.8,12.8,65.25
340,1961.0,12.0,7.0,0.0,19.76,26.2,13.0,58.5
341,1961.0,12.0,8.0,0.0,21.04,28.0,14.8,69.25
342,1961.0,12.0,9.0,0.0,22.42,30.0,17.4,69.0
343,1961.0,12.0,10.0,0.0,21.38,28.7,19.0,84.25
344,1961.0,12.0,11.0,53.0,21.76,27.8,17.7,84.75
345,1961.0,12.0,12.0,0.0,21.8,28.6,17.9,77.75
346,1961.0,12.0,13.0,0.0,21.2,28.6,15.8,77.75
347,1961.0,12.0,14.0,0.0,21.86,30.4,16.9,75.25
348,1961.0,12.0,15.0,0.0,23.0,29.6,16.2,62.5
349,1961.0,12.0,16.0,0.0,23.56,29.2,18.9,69.0
350,1961.0,12.0,17.0,6.4,21.18,24.9,18.2,78.25
351,1961.0,12.0,18.0,0.5,23.08,30.2,17.9,74.0
352,1961.0,12.0,19.0,0.0,24.94,31.7,19.4,64.75
353,1961.0,12.0,20.0,0.0,22.72,27.2,21.1,81.0
354,1961.0,12.0,21.0,0.0,19.3,23.2,17.8,93.75
355,1961.0,12.0,22.0,0.0,22.18,27.8,17.0,86.75
356,1961.0,12.0,23.0,19.0,18.72,21.7,17.1,88.75
357,1961.0,12.0,24.0,11.8,16.04,23.4,10.2,74.0
358,1961.0,12.0,25.0,0.0,19.28,27.4,13.2,67.25
359,1961.0,12.0,26.0,0.0,21.12,28.7,16.3,71.25
360,1961.0,12.0,27.0,0.1,20.82,26.6,17.0,78.25
361,1961.0,12.0,28.0,11.3,20.5,28.4,17.2,83.75
362,1961.0,12.0,29.0,70.1,15.94,19.4,14.4,97.0
363,1961.0,12.0,30.0,5.3,15.54,22.8,10.3,79.25
364,1961.0,12.0,31.0,0.0,17.82,26.6,10.9,73.25
365,1962.0,1.0,1.0,0.0,19.1,22.9,14.8,70.5
366,1962.0,1.0,2.0,0.1,17.2,20.6,16.2,92.5
367,1962.0,1.0,3.0,8.6,16.58,22.4,13.6,63.0
368,1962.0,1.0,4.0,0.0,17.56,25.4,9.8,59.0
369,1962.0,1.0,5.0,0.0,21.14,29.0,15.1,58.75
370,1962.0,1.0,6.0,0.0,23.36,30.7,17.3,60.25
371,1962.0,1.0,7.0,0.0,19.6,23.4,16.8,87.25
372,1962.0,1.0,8.0,13.4,21.94,29.1,15.6,70.75
373,1962.0,1.0,9.0,0.0,23.24,30.6,17.8,68.25
374,1962.0,1.0,10.0,0.0,20.7,28.0,16.0,76.0
375,1962.0,1.0,11.0,0.0,20.54,28.7,14.2,73.25
376,1962.0,1.0,12.0,0.0,21.82,29.2,17.6,79.5
377,1962.0,1.0,13.0,0.0,22.78,31.2,18.4,73.5
378,1962.0,1.0,14.0,52.3,16.94,21.3,15.0,98.25
379,1962.0,1.0,15.0,59.0,13.72,19.8,10.9,82.25
380,1962.0,1.0,16.0,0.0,15.64,23.9,8.4,67.5
381,1962.0,1.0,17.0,0.0,19.62,27.8,13.3,71.0
382,1962.0,1.0,18.0,0.0,21.22,28.8,15.7,68.25
383,1962.0,1.0,19.0,0.0,20.32,27.6,15.9,76.5
384,1962.0,1.0,20.0,0.0,20.18,27.1,15.8,72.75
385,1962.0,1.0,21.0,1.7,19.3,24.5,15.1,78.75
386,1962.0,1.0,22.0,0.1,20.38,28.6,16.6,77.75
387,1962.0,1.0,23.0,29.6,21.1,24.0,18.0,83.75
388,1962.0,1.0,24.0,5.0,20.14,24.3,18.6,90.25
389,1962.0,1.0,25.0,9.6,17.64,24.2,13.4,87.25
390,1962.0,1.0,26.0,2.0,18.9,26.2,15.0,77.5
391,1962.0,1.0,27.0,0.0,19.54,27.9,15.1,67.75
392,1962.0,1.0,28.0,0.0,19.88,27.8,14.7,66.75
393,1962.0,1.0,29.0,0.0,19.92,26.4,15.7,72.5
394,1962.0,1.0,30.0,0.0,18.76,24.2,14.6,85.0
395,1962.0,1.0,31.0,1.3,18.48,25.2,14.3,80.0
396,1962.0,2.0,1.0,0.1,18.8,26.8,12.2,72.5
397,1962.0,2.0,2.0,0.0,20.82,28.4,14.4,73.25
398,1962.0,2.0,3.0,0.3,19.16,22.4,18.2,93.5
399,1962.0,2.0,4.0,9.4,16.86,18.7,16.0,96.5
400,1962.0,2.0,5.0,17.9,17.14,24.2,13.2,79.5
401,1962.0,2.0,6.0,0.2,17.5,24.6,12.7,81.0
402,1962.0,2.0,7.0,0.0,17.2,22.7,14.4,83.75
403,1962.0,2.0,8.0,0.2,16.16,22.4,12.0,79.75
404,1962.0,2.0,9.0,0.0,18.16,25.0,14.0,78.25
405,1962.0,2.0,10.0,0.1,19.24,27.4,13.2,73.75
406,1962.0,2.0,11.0,0.0,20.16,26.0,15.8,87.5
407,1962.0,2.0,12.0,5.5,20.04,27.2,14.7,82.0
408,1962.0,2.0,13.0,0.2,20.74,27.7,16.2,80.5
409,1962.0,2.0,14.0,0.0,23.44,30.7,17.7,68.5
410,1962.0,2.0,15.0,0.0,21.48,27.2,19.6,75.25
411,1962.0,2.0,16.0,0.0,22.98,31.7,16.7,59.75
412,1962.0,2.0,17.0,0.0,19.84,26.6,17.1,87.5
413,1962.0,2.0,18.0,14.9,14.74,18.6,12.9,94.25
414,1962.0,2.0,19.0,1.7,16.08,25.1,9.2,64.5
